current_density,density_change,occupancy,capacity,average_speed_multiplier,scenario_crowd_size,arrival_rate,future_density_5step,is_critical_risk
3.14,0.0,449.0,143.0,0.2,18866,89.7015326034401,15.699,1
2.185,0.0,448.0,205.0,0.2,18866,89.7015326034401,13.112,1
0.0,0.0,0.0,66.0,1.0,18866,89.7015326034401,6.803,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
6.28,3.14,898.0,143.0,0.2,18866,89.7015326034401,15.699,1
4.371,2.186,896.0,205.0,0.2,18866,89.7015326034401,13.834,1
0.0,0.0,0.0,66.0,1.0,18866,89.7015326034401,18.152,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
9.42,3.14,1347.0,143.0,0.2,18866,89.7015326034401,15.699,1
6.556,2.185,1344.0,205.0,0.2,18866,89.7015326034401,14.556,1
0.0,0.0,0.0,66.0,1.0,18866,89.7015326034401,29.5,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
12.559,3.139,1796.0,143.0,0.2,18866,89.7015326034401,15.699,1
8.741,2.185,1792.0,205.0,0.2,18866,89.7015326034401,15.278,1
0.0,0.0,0.0,66.0,1.0,18866,89.7015326034401,40.848,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,3.14,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
10.927,2.186,2240.0,205.0,0.2,18866,89.7015326034401,16.0,1
0.0,0.0,0.0,66.0,1.0,18866,89.7015326034401,52.197,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
